PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Namechars,Sex_vals,Embarked_vals
2,1,1,38.0,1,0,71.2833,51,1.0,0.0
3,1,3,26.0,0,0,7.925,22,1.0,2.0
4,1,1,35.0,1,0,53.1,44,1.0,2.0
6,0,3,28.0,0,0,8.4583,16,0.0,1.0
7,0,1,54.0,0,0,51.8625,23,0.0,2.0
8,0,3,2.0,3,1,21.075,30,0.0,2.0
9,1,3,27.0,0,2,11.1333,49,1.0,2.0
10,1,2,14.0,1,0,30.0708,35,1.0,0.0
11,1,3,4.0,1,1,16.7,31,1.0,2.0
12,1,1,58.0,0,0,26.55,24,1.0,2.0
13,0,3,20.0,0,0,8.05,30,0.0,2.0
14,0,3,39.0,1,5,31.275,27,0.0,2.0
17,0,3,2.0,4,1,29.125,20,0.0,1.0
18,1,2,28.0,0,0,13.0,28,0.0,2.0
19,0,3,31.0,1,0,18.0,55,1.0,2.0
20,1,3,28.0,0,0,7.225,23,1.0,0.0
21,0,2,35.0,0,0,26.0,20,0.0,2.0
23,1,3,15.0,0,0,8.0292,27,1.0,1.0
24,1,1,28.0,0,0,35.5,28,0.0,2.0
26,1,3,38.0,1,5,31.3875,57,1.0,2.0
27,0,3,28.0,0,0,7.225,23,0.0,0.0
29,1,3,28.0,0,0,7.8792,29,1.0,1.0
31,0,1,40.0,0,0,27.7208,24,0.0,0.0
33,1,3,28.0,0,0,7.75,24,1.0,1.0
34,0,2,66.0,0,0,10.5,21,0.0,2.0
35,0,1,28.0,1,0,82.1708,23,0.0,0.0
36,0,1,42.0,1,0,52.0,30,0.0,2.0
37,1,3,28.0,0,0,7.2292,16,0.0,0.0
38,0,3,21.0,0,0,8.05,24,0.0,2.0
40,1,3,14.0,1,0,11.2417,27,1.0,0.0
41,0,3,40.0,1,0,9.475,46,1.0,2.0
42,0,2,27.0,1,0,21.0,56,1.0,2.0
43,0,3,28.0,0,0,7.8958,19,0.0,0.0
45,1,3,19.0,0,0,7.8792,29,1.0,1.0
46,0,3,28.0,0,0,8.05,24,0.0,2.0
47,0,3,28.0,1,0,15.5,17,0.0,1.0
48,1,3,28.0,0,0,7.75,25,1.0,1.0
50,0,3,18.0,1,0,17.8,45,1.0,2.0
51,0,3,7.0,4,1,39.6875,26,0.0,2.0
54,1,2,29.0,1,0,26.0,50,1.0,2.0
55,0,1,65.0,0,1,61.9792,30,0.0,0.0
56,1,1,28.0,0,0,35.5,17,0.0,2.0
57,1,2,21.0,0,0,10.5,17,1.0,2.0
58,0,3,28.5,0,0,7.2292,19,0.0,0.0
60,0,3,11.0,5,2,46.9,34,0.0,2.0
62,1,1,38.0,0,0,80.0,19,1.0,0.0
64,0,3,4.0,3,2,27.9,21,0.0,2.0
66,1,3,28.0,1,1,15.2458,24,0.0,0.0
67,1,2,29.0,0,0,10.5,28,1.0,2.0
68,0,3,19.0,0,0,8.1583,24,0.0,2.0
69,1,3,17.0,4,2,7.925,31,1.0,2.0
70,0,3,26.0,2,0,8.6625,17,0.0,2.0
72,0,3,16.0,5,2,46.9,26,1.0,2.0
73,0,2,21.0,0,0,73.5,20,0.0,2.0
75,1,3,32.0,0,0,56.4958,13,0.0,2.0
77,0,3,28.0,0,0,7.8958,17,0.0,2.0
79,1,2,0.83,0,2,29.0,29,0.0,2.0
80,1,3,30.0,0,0,12.475,24,1.0,2.0
81,0,3,22.0,0,0,9.0,20,0.0,2.0
86,1,3,33.0,3,0,15.85,55,1.0,2.0
87,0,3,16.0,1,3,34.375,22,0.0,2.0
88,0,3,28.0,0,0,8.05,29,0.0,2.0
89,1,1,23.0,3,2,263.0,26,1.0,2.0
90,0,3,24.0,0,0,8.05,22,0.0,2.0
93,0,1,46.0,1,0,61.175,27,0.0,2.0
94,0,3,26.0,1,2,20.575,23,0.0,2.0
97,0,1,71.0,0,0,34.6542,25,0.0,0.0
99,1,2,34.0,0,1,23.0,36,1.0,2.0
100,0,2,34.0,1,0,26.0,17,0.0,2.0
101,0,3,28.0,0,0,7.8958,23,1.0,2.0
103,0,1,21.0,0,1,77.2875,25,0.0,2.0
105,0,3,37.0,2,0,7.925,30,0.0,2.0
106,0,3,28.0,0,0,7.8958,21,0.0,2.0
107,1,3,21.0,0,0,7.65,32,1.0,2.0
109,0,3,38.0,0,0,7.8958,15,0.0,2.0
110,1,3,28.0,1,0,24.15,19,1.0,1.0
112,0,3,14.5,1,0,14.4542,20,1.0,0.0
113,0,3,22.0,0,0,8.05,22,0.0,2.0
115,0,3,17.0,0,0,14.4583,21,1.0,0.0
116,0,3,21.0,0,0,7.925,21,0.0,2.0
117,0,3,70.5,0,0,7.75,20,0.0,1.0
118,0,2,29.0,1,0,21.0,31,0.0,2.0
119,0,1,24.0,0,1,247.5208,24,0.0,0.0
120,0,3,2.0,4,2,31.275,33,1.0,2.0
121,0,2,21.0,2,0,73.5,27,0.0,2.0
122,0,3,28.0,0,0,8.05,26,0.0,2.0
123,0,2,32.5,1,0,30.0708,20,0.0,0.0
124,1,2,32.5,0,0,13.0,19,1.0,2.0
126,1,3,12.0,1,0,11.2417,28,0.0,0.0
127,0,3,28.0,0,0,7.75,19,0.0,1.0
128,1,3,24.0,0,0,7.1417,25,0.0,2.0
132,0,3,20.0,0,0,7.05,30,0.0,2.0
133,0,3,47.0,1,0,14.5,46,1.0,2.0
134,1,2,29.0,1,0,26.0,45,1.0,2.0
136,0,2,23.0,0,0,15.0458,18,0.0,0.0
137,1,1,19.0,0,2,26.2833,28,1.0,2.0
138,0,1,37.0,1,0,53.1,27,0.0,2.0
139,0,3,16.0,0,0,9.2167,19,0.0,2.0
142,1,3,22.0,0,0,7.75,24,1.0,2.0
143,1,3,24.0,1,0,15.85,52,1.0,2.0
144,0,3,19.0,0,0,6.75,19,0.0,1.0
145,0,2,18.0,0,0,11.5,26,0.0,2.0
146,0,2,19.0,1,1,36.75,28,0.0,2.0
147,1,3,27.0,0,0,7.7958,44,0.0,2.0
148,0,3,9.0,2,2,34.375,32,1.0,2.0
150,0,2,42.0,0,0,13.0,33,0.0,2.0
151,0,2,51.0,0,0,12.525,26,0.0,2.0
153,0,3,55.5,0,0,8.05,16,0.0,2.0
155,0,3,28.0,0,0,7.3125,21,0.0,2.0
156,0,1,51.0,0,1,61.3792,27,0.0,0.0
157,1,3,16.0,0,0,7.7333,32,1.0,1.0
162,1,2,40.0,0,0,15.75,50,1.0,2.0
163,0,3,26.0,0,0,7.775,26,0.0,2.0
164,0,3,17.0,0,0,8.6625,15,0.0,2.0
167,1,1,28.0,0,1,55.0,38,1.0,2.0
168,0,3,45.0,1,4,27.9,47,1.0,2.0
169,0,1,28.0,0,0,25.925,19,0.0,2.0
171,0,1,61.0,0,0,33.5,25,0.0,2.0
172,0,3,4.0,4,1,29.125,20,0.0,1.0
173,1,3,1.0,1,1,11.1333,28,1.0,2.0
174,0,3,21.0,0,0,7.925,25,0.0,2.0
176,0,3,18.0,1,1,7.8542,22,0.0,2.0
179,0,2,30.0,0,0,13.0,18,0.0,2.0
181,0,3,28.0,8,2,69.55,28,1.0,2.0
183,0,3,9.0,4,2,31.3875,37,0.0,2.0
184,1,2,1.0,2,1,39.0,25,0.0,2.0
185,1,3,4.0,0,2,22.025,35,1.0,2.0
186,0,1,28.0,0,0,50.0,21,0.0,2.0
187,1,3,28.0,1,0,15.5,47,1.0,1.0
188,1,1,45.0,0,0,26.55,45,0.0,2.0
189,0,3,40.0,1,1,15.5,16,0.0,1.0
191,1,2,32.0,0,0,13.0,19,1.0,2.0
192,0,2,19.0,0,0,13.0,21,0.0,2.0
194,1,2,3.0,1,1,26.0,26,0.0,2.0
197,0,3,28.0,0,0,7.75,19,0.0,1.0
198,0,3,42.0,0,1,8.4042,32,0.0,2.0
200,0,2,24.0,0,0,13.0,38,1.0,2.0
201,0,3,28.0,0,0,9.5,30,0.0,2.0
202,0,3,28.0,8,2,69.55,19,0.0,2.0
203,0,3,34.0,0,0,6.4958,26,0.0,2.0
204,0,3,45.5,0,0,7.225,20,0.0,0.0
205,1,3,18.0,0,0,8.05,24,0.0,2.0
208,1,3,26.0,0,0,18.7875,27,0.0,0.0
210,1,1,40.0,0,0,31.0,16,0.0,0.0
212,1,2,35.0,0,0,21.0,26,1.0,2.0
214,0,2,30.0,0,0,13.0,27,0.0,2.0
215,0,3,28.0,1,0,7.75,19,0.0,1.0
216,1,1,31.0,1,0,113.275,23,1.0,0.0
217,1,3,27.0,0,0,7.925,22,1.0,2.0
218,0,2,42.0,1,0,27.0,28,0.0,2.0
219,1,1,32.0,0,0,76.2917,21,1.0,0.0
220,0,2,30.0,0,0,10.5,18,0.0,2.0
221,1,3,16.0,0,0,8.05,30,0.0,2.0
222,0,2,27.0,0,0,13.0,20,0.0,2.0
223,0,3,51.0,0,0,8.05,23,0.0,2.0
224,0,3,28.0,0,0,7.8958,20,0.0,2.0
227,1,2,19.0,0,0,10.5,25,0.0,2.0
228,0,3,20.5,0,0,7.25,31,0.0,2.0
229,0,2,18.0,0,0,13.0,25,0.0,2.0
231,1,1,35.0,1,0,83.475,44,1.0,2.0
232,0,3,29.0,0,0,7.775,24,0.0,2.0
234,1,3,5.0,4,2,31.3875,30,1.0,2.0
235,0,2,24.0,0,0,10.5,33,0.0,2.0
236,0,3,28.0,0,0,7.55,28,1.0,2.0
239,0,2,19.0,0,0,10.5,31,0.0,2.0
242,1,3,28.0,1,0,15.5,30,1.0,1.0
243,0,2,29.0,0,0,10.5,31,0.0,2.0
244,0,3,22.0,0,0,7.125,29,0.0,2.0
246,0,1,44.0,2,0,90.0,27,0.0,1.0
247,0,3,25.0,0,0,7.775,37,1.0,2.0
250,0,2,54.0,1,0,26.0,29,0.0,2.0
256,1,3,29.0,0,2,15.2458,39,1.0,0.0
257,1,1,28.0,0,0,79.2,30,1.0,0.0
259,1,1,35.0,0,0,512.3292,16,1.0,0.0
260,1,2,50.0,0,1,26.0,27,1.0,2.0
262,1,3,3.0,4,2,31.3875,33,0.0,2.0
263,0,1,52.0,1,1,79.65,17,0.0,2.0
264,0,1,40.0,0,0,0.0,21,0.0,2.0
265,0,3,28.0,0,0,7.75,18,1.0,1.0
266,0,2,36.0,0,0,10.5,17,0.0,2.0
267,0,3,16.0,4,1,39.6875,25,0.0,2.0
268,1,3,25.0,1,0,7.775,24,0.0,2.0
269,1,1,58.0,0,1,153.4625,45,1.0,2.0
270,1,1,35.0,0,0,135.6333,22,1.0,2.0
271,0,1,28.0,0,0,31.0,21,0.0,2.0
273,1,2,41.0,0,1,19.5,41,1.0,2.0
274,0,1,37.0,0,1,29.7,21,0.0,0.0
275,1,3,28.0,0,0,7.75,26,1.0,1.0
276,1,1,63.0,1,0,77.9583,33,1.0,2.0
277,0,3,45.0,0,0,7.75,33,1.0,2.0
281,0,3,65.0,0,0,7.75,16,0.0,1.0
282,0,3,28.0,0,0,7.8542,32,0.0,2.0
284,1,3,19.0,0,0,8.05,26,0.0,2.0
285,0,1,28.0,0,0,26.0,26,0.0,2.0
